ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60618,16,04/18/2021,04/24/2021,97,8291,103,8783.3,2600,122704,2754,129989.9,0.0,0.1,3,117,3.2,123.9,94395,60618-2021-16,POINT (-87.703343 41.946699)
60618,17,04/25/2021,05/01/2021,93,8384,98,8881.8,2392,125096,2534,132524,0.0,0.1,1,118,1.1,125.0,94395,60618-2021-17,POINT (-87.703343 41.946699)
60618,21,05/23/2021,05/29/2021,17,8557,18,9065.1,1955,134012,2071,141969.4,0.0,0.1,1,122,1.1,129.2,94395,60618-2021-21,POINT (-87.703343 41.946699)
60619,44,10/25/2020,10/31/2020,129,1781,211,2907.4,1417,28042,2313,45776.9,0.1,0.1,1,74,1.6,120.8,61258,60619-2020-44,POINT (-87.60569 41.744737)
60619,45,11/01/2020,11/07/2020,202,1983,330,3237.1,1574,29616,2570,48346.3,0.1,0.1,3,77,4.9,125.7,61258,60619-2020-45,POINT (-87.60569 41.744737)
60619,46,11/08/2020,11/14/2020,237,2220,387,3624,1974,31590,3222,51568.8,0.1,0.1,0,77,0.0,125.7,61258,60619-2020-46,POINT (-87.60569 41.744737)
60619,47,11/15/2020,11/21/2020,237,2457,387,4010.9,2033,33623,3319,54887.5,0.1,0.1,2,79,3.3,129.0,61258,60619-2020-47,POINT (-87.60569 41.744737)
60619,48,11/22/2020,11/28/2020,120,2577,196,4206.8,1476,35099,2410,57297,0.1,0.1,3,82,4.9,133.9,61258,60619-2020-48,POINT (-87.60569 41.744737)
60619,49,11/29/2020,12/05/2020,182,2759,297,4503.9,1881,36980,3071,60367.6,0.1,0.1,3,85,4.9,138.8,61258,60619-2020-49,POINT (-87.60569 41.744737)
60619,50,12/06/2020,12/12/2020,167,2926,273,4776.5,1932,38912,3154,63521.5,0.1,0.1,5,90,8.2,146.9,61258,60619-2020-50,POINT (-87.60569 41.744737)
60619,51,12/13/2020,12/19/2020,157,3083,256,5032.8,1702,40614,2778,66299.9,0.1,0.1,5,95,8.2,155.1,61258,60619-2020-51,POINT (-87.60569 41.744737)
60619,52,12/20/2020,12/26/2020,119,3202,194,5227.1,1281,41895,2091,68391.1,0.1,0.1,7,102,11.4,166.5,61258,60619-2020-52,POINT (-87.60569 41.744737)
60619,14,04/04/2021,04/10/2021,143,4288,233,6999.9,1920,63657,3134,103916.2,0.1,0.1,4,126,6.5,205.7,61258,60619-2021-14,POINT (-87.60569 41.744737)
60619,15,04/11/2021,04/17/2021,159,4447,260,7259.5,1982,65639,3236,107151.7,0.1,0.1,2,128,3.3,209.0,61258,60619-2021-15,POINT (-87.60569 41.744737)
60601,33,08/09/2020,08/15/2020,7,127,48,865.4,300,2643,2044,18010.2,0.0,0.0,0,5,0.0,34.1,14675,60601-2020-33,POINT (-87.622844 41.886262)
60601,34,08/16/2020,08/22/2020,7,134,48,913.1,345,2988,2351,20361.2,0.0,0.0,0,5,0.0,34.1,14675,60601-2020-34,POINT (-87.622844 41.886262)
60601,35,08/23/2020,08/29/2020,14,148,95,1008.5,421,3409,2869,23230,0.0,0.0,0,5,0.0,34.1,14675,60601-2020-35,POINT (-87.622844 41.886262)
60601,44,10/25/2020,10/31/2020,39,326,266,2221.5,576,8794,3925,59925,0.1,0.0,0,7,0.0,47.7,14675,60601-2020-44,POINT (-87.622844 41.886262)
60601,45,11/01/2020,11/07/2020,63,389,429,2650.8,579,9373,3946,63870.5,0.1,0.0,0,7,0.0,47.7,14675,60601-2020-45,POINT (-87.622844 41.886262)
60601,46,11/08/2020,11/14/2020,78,467,532,3182.3,747,10120,5090,68960.8,0.1,0.0,1,8,6.8,54.5,14675,60601-2020-46,POINT (-87.622844 41.886262)
60601,47,11/15/2020,11/21/2020,55,522,375,3557.1,1003,11123,6835,75795.6,0.1,0.0,0,8,0.0,54.5,14675,60601-2020-47,POINT (-87.622844 41.886262)
60601,48,11/22/2020,11/28/2020,49,571,334,3891,578,11701,3939,79734.2,0.1,0.1,0,8,0.0,54.5,14675,60601-2020-48,POINT (-87.622844 41.886262)
60601,20,05/16/2021,05/22/2021,5,1097,34,7475.3,526,28990,3584,197546.8,0.0,0.0,0,12,0.0,81.8,14675,60601-2021-20,POINT (-87.622844 41.886262)
60607,6,02/07/2021,02/13/2021,20,2241,68,7573.2,1572,44952,5312,151911.1,0.0,0.0,0,8,0.0,27.0,29591,60607-2021-6,POINT (-87.652727 41.876104)
60607,7,02/14/2021,02/20/2021,19,2260,64,7637.5,1516,46468,5123,157034.2,0.0,0.0,0,8,0.0,27.0,29591,60607-2021-7,POINT (-87.652727 41.876104)
60607,8,02/21/2021,02/27/2021,21,2281,71,7708.4,1650,48118,5576,162610.3,0.0,0.0,0,8,0.0,27.0,29591,60607-2021-8,POINT (-87.652727 41.876104)
60619,17,04/25/2021,05/01/2021,112,4658,183,7603.9,1902,69445,3105,113364.8,0.1,0.1,2,132,3.3,215.5,61258,60619-2021-17,POINT (-87.60569 41.744737)
60619,21,05/23/2021,05/29/2021,31,4931,51,8049.6,1656,76881,2703,125503.6,0.0,0.1,0,135,0.0,220.4,61258,60619-2021-21,POINT (-87.60569 41.744737)
60620,31,07/26/2020,08/01/2020,43,1424,63,2091.2,947,13991,1391,20546,0.1,0.1,1,71,1.5,104.3,68096,60620-2020-31,POINT (-87.651656 41.740873)
60620,33,08/09/2020,08/15/2020,44,1530,65,2246.8,1330,16273,1953,23897.1,0.0,0.1,2,73,2.9,107.2,68096,60620-2020-33,POINT (-87.651656 41.740873)
60620,36,08/30/2020,09/05/2020,37,1630,54,2393.7,835,19103,1226,28053,0.1,0.1,1,75,1.5,110.1,68096,60620-2020-36,POINT (-87.651656 41.740873)
60602,20,05/16/2021,05/22/2021,1,107,80,8601.3,77,2758,6190,221704.2,0.0,0.0,0,2,0.0,160.8,1244,60602-2021-20,POINT (-87.628309 41.883136)
60620,37,09/06/2020,09/12/2020,24,1654,35,2428.9,790,19893,1160,29213.2,0.0,0.1,0,75,0.0,110.1,68096,60620-2020-37,POINT (-87.651656 41.740873)
60608,53,12/27/2020,01/02/2021,191,6488,241,8191.4,1955,67966,2468,85810.2,0.1,0.1,6,122,7.6,154.0,79205,60608-2020-53,POINT (-87.670366 41.849879)
60605,43,10/18/2020,10/24/2020,76,556,276,2020.4,1211,13830,4401,50256.2,0.1,0.0,1,5,3.6,18.2,27519,60605-2020-43,POINT (-87.623449 41.867824)
60605,44,10/25/2020,10/31/2020,82,638,298,2318.4,1186,15016,4310,54565.9,0.1,0.0,0,5,0.0,18.2,27519,60605-2020-44,POINT (-87.623449 41.867824)
60601,49,11/29/2020,12/05/2020,47,618,320,4211.2,705,12406,4804,84538.3,0.1,0.1,1,9,6.8,61.3,14675,60601-2020-49,POINT (-87.622844 41.886262)
60605,17,04/25/2021,05/01/2021,15,1939,54,7046,1003,44623,3645,162153.4,0.0,0.0,0,11,0.0,40.0,27519,60605-2021-17,POINT (-87.623449 41.867824)
60605,45,11/01/2020,11/07/2020,112,750,407,2725.4,1210,16226,4397,58962.9,0.1,0.0,0,5,0.0,18.2,27519,60605-2020-45,POINT (-87.623449 41.867824)
60605,46,11/08/2020,11/14/2020,119,869,432,3157.8,1386,17612,5036,63999.4,0.1,0.0,0,5,0.0,18.2,27519,60605-2020-46,POINT (-87.623449 41.867824)
60605,47,11/15/2020,11/21/2020,160,1029,581,3739.2,1946,19558,7072,71070.9,0.1,0.1,1,6,3.6,21.8,27519,60605-2020-47,POINT (-87.623449 41.867824)
60605,48,11/22/2020,11/28/2020,64,1093,233,3971.8,1260,20818,4579,75649.6,0.1,0.1,0,6,0.0,21.8,27519,60605-2020-48,POINT (-87.623449 41.867824)
60605,49,11/29/2020,12/05/2020,83,1176,302,4273.4,1329,22147,4829,80478.9,0.1,0.1,1,7,3.6,25.4,27519,60605-2020-49,POINT (-87.623449 41.867824)
60608,47,11/15/2020,11/21/2020,463,4931,585,6225.6,3449,52527,4354,66317.8,0.2,0.1,7,92,8.8,116.2,79205,60608-2020-47,POINT (-87.670366 41.849879)
60608,48,11/22/2020,11/28/2020,305,5236,385,6610.7,2474,55001,3124,69441.3,0.2,0.1,2,94,2.5,118.7,79205,60608-2020-48,POINT (-87.670366 41.849879)
60608,1,01/03/2021,01/09/2021,199,6687,251,8442.6,2491,70457,3145,88955.2,0.1,0.1,3,125,3.8,157.8,79205,60608-2021-1,POINT (-87.670366 41.849879)
60608,3,01/17/2021,01/23/2021,164,7037,207,8884.5,2162,75037,2730,94737.7,0.1,0.1,0,127,0.0,160.3,79205,60608-2021-3,POINT (-87.670366 41.849879)
60608,4,01/24/2021,01/30/2021,122,7159,154,9038.6,2154,77191,2720,97457.2,0.1,0.1,2,129,2.5,162.9,79205,60608-2021-4,POINT (-87.670366 41.849879)
60608,5,01/31/2021,02/06/2021,75,7234,95,9133.3,2228,79419,2813,100270.2,0.0,0.1,1,130,1.3,164.1,79205,60608-2021-5,POINT (-87.670366 41.849879)
60603,20,05/16/2021,05/22/2021,1,80,85,6814.3,68,2781,5792,236882.5,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-20,POINT (-87.625473 41.880112)
60608,20,05/16/2021,05/22/2021,35,8117,44,10248.1,1788,110645,2257,139694.5,0.0,0.1,1,141,1.3,178.0,79205,60608-2021-20,POINT (-87.670366 41.849879)
60609,14,03/29/2020,04/04/2020,52,112,85,182.1,151,342,246,556.1,0.3,0.3,3,3,4.9,4.9,61495,60609-2020-14,POINT (-87.653382 41.812017)
60609,15,04/05/2020,04/11/2020,77,189,125,307.3,199,541,324,879.7,0.3,0.3,2,5,3.3,8.1,61495,60609-2020-15,POINT (-87.653382 41.812017)
60609,16,04/12/2020,04/18/2020,151,340,246,552.9,327,868,532,1411.5,0.4,0.3,5,10,8.1,16.3,61495,60609-2020-16,POINT (-87.653382 41.812017)
60609,17,04/19/2020,04/25/2020,218,558,354,907.4,531,1399,864,2275,0.4,0.4,8,18,13.0,29.3,61495,60609-2020-17,POINT (-87.653382 41.812017)
60620,38,09/13/2020,09/19/2020,28,1682,41,2470,793,20686,1164,30377.7,0.0,0.1,0,75,0.0,110.1,68096,60620-2020-38,POINT (-87.651656 41.740873)
60620,39,09/20/2020,09/26/2020,25,1707,37,2506.8,796,21482,1169,31546.6,0.0,0.1,2,77,2.9,113.1,68096,60620-2020-39,POINT (-87.651656 41.740873)
60620,40,09/27/2020,10/03/2020,24,1731,35,2542,903,22385,1326,32872.7,0.0,0.1,2,79,2.9,116.0,68096,60620-2020-40,POINT (-87.651656 41.740873)
60601,50,12/06/2020,12/12/2020,29,647,198,4408.9,673,13079,4586,89124.4,0.0,0.1,0,9,0.0,61.3,14675,60601-2020-50,POINT (-87.622844 41.886262)
60605,4,01/24/2021,01/30/2021,21,1582,76,5748.8,950,31385,3452,114048.5,0.0,0.1,0,10,0.0,36.3,27519,60605-2021-4,POINT (-87.623449 41.867824)
60606,20,05/16/2021,05/22/2021,4,324,129,10448.2,210,9333,6772,300967.4,0.0,0.1,0,3,0.0,96.7,3101,60606-2021-20,POINT (-87.63676 41.882634)
60607,20,05/16/2021,05/22/2021,12,2686,41,9077.1,1123,67270,3795,227332.6,0.0,0.0,0,9,0.0,30.4,29591,60607-2021-20,POINT (-87.652727 41.876104)
60608,44,10/25/2020,10/31/2020,290,3486,366,4401.2,2890,42723,3649,53939.8,0.1,0.1,2,83,2.5,104.8,79205,60608-2020-44,POINT (-87.670366 41.849879)
60608,46,11/08/2020,11/14/2020,516,4468,652,5641.1,3224,49078,4070,61963.3,0.2,0.1,1,85,1.3,107.3,79205,60608-2020-46,POINT (-87.670366 41.849879)
60620,41,10/04/2020,10/10/2020,46,1777,68,2609.6,1067,23452,1567,34439.6,0.0,0.1,0,79,0.0,116.0,68096,60620-2020-41,POINT (-87.651656 41.740873)
60620,50,12/06/2020,12/12/2020,211,3519,310,5167.7,2374,41299,3486,60648.2,0.1,0.1,3,102,4.4,149.8,68096,60620-2020-50,POINT (-87.651656 41.740873)
60620,10,03/07/2021,03/13/2021,25,4659,37,6841.8,1757,65127,2580,95640,0.0,0.1,1,134,1.5,196.8,68096,60620-2021-10,POINT (-87.651656 41.740873)
